Bracket			Punct	Bracket	ფრჩხ		[ ]		
Paren			Punct	Parenthesis	ფრჩხ		( )		
Quote			Punct	Quotation mark	ბრჭყ		« » “ ”		
Ellipsis			Punct	Ellipsis	მრწერტ		…		
ExclPoint			Punct	Exclamation point	ძახ		!		
Star			Symbol	Star	ვარსკ	Аеҵәа	*		
Advb	Case=Ess		Noun, Adj, Pron	Adverbialis	ვით	Аиагаратә форма	рҵаҩыс		
Dyn	Dyn=Yes		V	Dynamic	Адин	Адинамикатә	агылара, сгылоит	Дин	Динамический
Stat	Dyn=No		V	Static	Астат	Астатикатә	агылазаара, сгылоуп	Стат	Статический
Fin	VerbForm=Fin		V	Finite	Афин	Афиниттә форма	былбоит, иҭ!, ицазаарын	Фин	Финитная форма
NonFin	VerbForm=NonFin		V	Non-finite	Аинф	Аинфиниттә форма	избо, иҟаҵаны	Инфин	Инфинитная форма
Abs	VerbForm=Ger		V	Absolutive		Арлахәыра	игыланы		Деепричастие
#Tr	Trans=Yes		V	Transitive	Еиҭаҵ	Еиҭаҵуа	иҟаиҵеит	Перех	Переходный
Tr	Subcat=Tran		V	Transitive	Еиҭаҵ	Еиҭаҵуа	иҟаиҵеит	Перех	Переходный
#Intr	Trans=No		V	Intransitive	Еиҭамҵ	Еиҭамҵуа	сыҧоит, дасуеит	Неперех	НепереходTr	Subcat=Tran		V	Transitive	Еиҭаҵ	Еиҭаҵуа	иҟаиҵеит	Перех	Переходный
Intr	Subcat=Intr		V	Intransitive	Еиҭамҵ	Еиҭамҵуа	сыҧоит, дасуеит	Неперех	Непереходный
Sg	Number=Sing		Pron Pers	Singular	Азаҵә	Азаҵә хыҧхьаӡара	ашәҟәы, аҳ, ауаҩы, ҧҳәыск, аҵыс	Ед	Единственное число
Pl	Number=Plur		Pron Pers	Plural	Арацәа	Арацәа хыҧхьаӡара	ашәҟәқәа, аҳцәа, ауаа, ҳәсақәа, аҵар	Мн	Множественное число
1Sg	Number=Sing|Person=1		Pron Pers	1st Singular	азаҵә	Азаҵә хыҧхьаӡара актәи ахаҿы	са, сара		
2SgM	Number=Sing|Person=2|Gender=Masc		Pron Pers	2nd Singular Masculine		Азаҵә хыҧхьаӡара аҩбатәи ахаҿы (ахацәа)	уа, уара		
2SgF	Number=Sing|Person=2|Gender=Fem		Pron Pers	2nd Singular Feminine		Азаҵә хыҧхьаӡара аҩбатәи ахаҿы (аҳәса)	ба, бара		
3SgM	Number=Sing|Person=3|Gender=Masc		Pron Pers	3rd Singular Masculine		Азаҵә хыҧхьаӡара ахҧатәи ахаҿы (ахацәа)	иара		
3SgF	Number=Sing|Person=3|Gender=Fem		Pron Pers	3rd Singular Feminine		Азаҵә хыҧхьаӡара ахҧатәи ахаҿы (аҳәса)	лара		
1Pl	Number=Plur|Person=1		Pron Pers	1st Plural	арацәа	Арацәа хыҧхьаӡара актәи ахаҿы	ҳара		
